DoctorID,DoctorName,DeptID,Email
146,Joyce Solis,7,cherring@hotmail.com
147,Victoria Larson,15,xrush@hines-berry.net
148,Stephanie Salazar,15,redwards@gmail.com
149,Kathy Rivas,11,fitzgeraldvictor@mcintyre-wilson.com
150,Stephanie Manning,8,wendymitchell@yahoo.com
151,David Wright,3,taylorcharles@roach.com
152,Pamela Boyd,5,jenna88@yahoo.com
153,Denise Jones,3,jenniferho@hotmail.com
154,Devon Flores,4,william13@young.com
155,Brenda Hall,12,tanner82@hotmail.com
156,Michelle Brown,9,parkeryvonne@mendoza.org
157,Joshua Perry,9,teresaday@owens-holmes.com
158,Jason Stein,5,ryanbartlett@guerra.com
159,Melissa Gates,12,fernandodonovan@gmail.com
160,Jamie Smith,10,meghan43@hotmail.com
161,Paul Castaneda,7,colleenmendez@gmail.com
162,Jennifer Adkins,15,georgeweber@morgan.com
163,Lindsey Walker,10,frykelli@curtis-wang.biz
164,Jeffrey Johnson,7,ismall@may-turner.com
165,Michael Powell,6,shawn02@yahoo.com
166,John Anderson,4,vmarshall@hotmail.com
167,Alyssa Long,3,michelle55@anderson-wood.net
168,Alyssa Day,9,john14@wright-davis.com
169,Joel Williams,8,kwright@yahoo.com
170,Daniel Murphy,2,kathrynjimenez@hotmail.com
171,Jamie Walton,13,fkoch@gmail.com
172,Darlene Miller,1,pwagner@aguilar.com
173,Joshua Cooke,14,pharper@hotmail.com
174,Matthew Harrington,2,amanda16@gmail.com
175,Nicole Herring,3,kathryn50@yahoo.com
176,Alex Hernandez,11,michaelroberts@gordon-duran.com
177,Michael Elliott,3,theresalong@grant-diaz.com
178,Michael Wang,13,cporter@taylor.info
179,Lawrence Adkins,11,catherinerobertson@yahoo.com
180,Robert Oconnell,7,phillipjensen@yahoo.com
181,Alexander Collins,10,terickson@yahoo.com
182,Tina Sanders,2,mark16@parker.com
183,Angela Vaughn,7,tammy99@gmail.com
184,Ashley Barton,7,ojackson@harvey.com
185,Lindsay Martinez,10,leescott@hernandez-vaughn.biz
186,Dr. Hannah Patterson,8,thorntonapril@hotmail.com
187,Jonathan Peterson,9,ufox@gmail.com
188,Samantha Garcia,5,amy49@yahoo.com
189,Madison Poole,9,joshuaevans@wise-bush.info
190,Jessica Gross,14,ybailey@hotmail.com
191,Debra Morton,1,david86@yahoo.com
192,Karen Graham,11,kellyroberts@hotmail.com
193,Debra Christian,12,sandra47@harris.com
194,Angelica Keith,2,danielyang@gmail.com
195,John Bishop,11,santiagoamanda@hall.info
196,Allen Rosales,15,adampierce@russell.info
197,Daniel Salinas,9,manuel01@andrews.com
198,Spencer Haynes,13,lkhan@osborn.info
199,Adam Vaughan,5,nancy04@morrison.info
200,Nathan Freeman,13,melissamcdonald@gmail.com
